replicate,pop,gen,odomS,H0,selModel
11,STL,3,0.2,0.66,incompODomSel
11,STM,3,0.2,0.62,incompODomSel
11,STH,3,0.2,0.56,incompODomSel
11,STL,4,0.2,0.6,incompODomSel
11,STM,4,0.2,0.5,incompODomSel
11,STH,4,0.2,0.5,incompODomSel
11,STL,5,0.2,0.42,incompODomSel
11,STM,5,0.2,0.38,incompODomSel
11,STH,5,0.2,0.44,incompODomSel
11,STL,6,0.2,0.38,incompODomSel
11,STM,6,0.2,0.34,incompODomSel
11,STH,6,0.2,0.36,incompODomSel
11,STL,7,0.2,0.4,incompODomSel
11,STM,7,0.2,0.38,incompODomSel
11,STH,7,0.2,0.32,incompODomSel
11,STL,8,0.2,0.32,incompODomSel
11,STM,8,0.2,0.44,incompODomSel
11,STH,8,0.2,0.38,incompODomSel
11,STL,9,0.2,0.32,incompODomSel
11,STM,9,0.2,0.46,incompODomSel
11,STH,9,0.2,0.34,incompODomSel
11,STL,10,0.2,0.3,incompODomSel
11,STM,10,0.2,0.4,incompODomSel
11,STH,10,0.2,0.3,incompODomSel
11,STL,11,0.2,0.3,incompODomSel
11,STM,11,0.2,0.48,incompODomSel
